id,num_orders
1028232,136.095
1262649,120.725
1453211,186.33
1262599,88.295
1495848,128.555
1342607,121.505
1358429,120.85
1475006,126.94
1009709,164.035
1460444,1352.15
1476535,552.31
1297121,614.62
1141103,980.015
1274933,1422.06
1435122,517.97
1486477,549.5
1195364,1018.34
1301491,610.09
1059056,904.785
1098228,1022.505
1080847,1010.605
1064602,1077.39
1093227,1130.19
1177861,881.395
1259611,529.05
1274836,747.515
1030333,1061.35
1249982,604.62
1188591,597.82
1316160,711.885
1419545,656.05
1062437,545.92
1181575,763.28
1143023,428.09
1278339,668.905
1282203,675.575
1080746,520.42
1296937,703.185
1210564,609.845
1390579,249.53
1436947,300.9
1045739,235.2
1318087,234.96
1223698,275.47
1436625,278.7
1383644,219.775
1045356,223.235
1121593,252.47
1114635,217.785
1332667,1661.7
1039351,2075.815
1319273,1629.44
1305518,1656.425
1327143,1550.165
1272171,1120.935
1223757,906.295
1090089,1086.505
1128850,967.95
1446344,922.27
1237947,750.835
1452835,663.14
1029462,782.465
1365321,703.865
1377892,752.895
1378346,752.895
1261333,724.905
1427333,688.675
1157382,788.765
1168967,759.745
1306954,758.655
1342909,740.825
1244760,1046.62
1431361,681.97
1276681,980.965
1148958,979.56
1184174,804.18
1323560,785.175
1066229,1185.11
1025558,957.215
1083889,251.55
1378453,232.705
1434331,289.995
1311554,283.58
1111904,241.965
1430955,264.225
1455829,296.225
1182896,267.105
1205862,269.115
1215917,283.945
1409427,142.79
1100468,280.81
1411863,130.12
1010693,350.495
1004925,301.975
1265382,132.995
1239027,155.825
1462013,294.215
1464784,187.045
1440692,148.76
1268331,253.12
1030648,323.745
1033468,304.83
1452010,317.21
1164883,272.61
1265395,357.725
1214244,389.835
1307226,326.355
1425834,304.9
1105463,294.84
1245977,118.155
1352817,117.29
1245183,439.16
1490092,364.785
1278462,433.605
1090267,456.68
1231613,446.91
1164334,473.305
1300150,426.635
1231259,432.63
1243020,437.645
1433764,713.86
1124103,475.3
1031825,452.955
1437782,581.04
1087645,483.66
1185456,404.495
1450862,682.965
1465438,686.755
1035890,358.16
1267165,582.03
1262997,638.19
1088775,873.22
1217709,845.47
1430418,465.63
1275478,742.34
1435295,419.32
1346982,487.32
1160970,717.595
1310566,515.105
1014151,610.65
1374002,545.765
1417996,569.71
1141881,529.14
1219590,543.33
1373220,547.085
1355558,551.44
1042282,623.705
1323969,574.84
1480827,526.07
1161084,268.945
1351984,228.75
1196384,321.47
1231951,340.28
1004647,222.6
1441493,261.96
1337172,348.93
1127689,246.15
1321298,253.75
1475476,254.045
1207745,440.34
1332437,386.92
1295195,449.28
1238168,570.94
1401191,448.85
1320351,449.505
1015073,373.775
1440436,540.85
1488196,619.73
1084735,442.72
1312130,145.255
1284072,173.25
1390606,144.795
1177870,143.22
1217412,127.73
1391279,134.155
1000635,201.525
1070142,198.44
1158077,171.79
1263948,121.33
1240615,1025.08
1397490,1064.965
1355088,901.88
1401705,1063.405
1422185,778.755
1390157,1065.665
1460838,830.745
1377519,1078.515
1310657,879.355
1491023,1185.075
1067356,392.035
1282200,831.925
1137357,415.74
1396043,731.165
1269970,811.35
1350440,750.58
1308326,801.58
1242087,826.93
1043619,338.67
1222185,395.2
1497941,720.525
1278537,511.225
1355035,518.9
1143583,614.055
1020166,643.71
1406416,484.505
1203123,502.23
1480428,606.32
1420069,688.02
1125502,661.565
1249505,231.71
1206767,253.01
1094469,212.305
1278323,144.09
1173977,228.07
1140787,216.55
1116819,241.335
1252003,383.62
1352888,175.265
1128508,213.76
1034558,70.69
1176365,68.965
1094576,77.525
1392466,62.47
1055474,74.65
1217360,73.75
1271801,55.93
1345064,60.7
1401294,94.395
1024879,71.75
1001797,528.75
1131807,294.805
1494899,351.095
1268958,383.12
1288154,352.995
1203405,267.715
1040370,585.305
1044833,536.255
1350447,320.645
1347690,318.69
1025721,292.945
1457412,391.36
1251774,395.675
1380718,324.99
1262455,385.69
1043759,306.435
1153098,316.56
1142567,293.26
1044267,314.445
1263998,344.965
1185434,796.085
1101049,1515.43
1101699,1511.65
1089294,1505.06
1480593,732.815
1339799,1583.215
1261433,1430.84
1397430,630.625
1083089,751.485
1138673,1387.96
1306281,89.38
1042427,147.8
1039235,127.685
1270474,106.88
1387994,92.03
1204001,93.85
1146761,110.845
1160004,108.64
1274185,118.515
1271542,103.02
1470774,460.565
1299041,561.85
1105837,418.665
1082803,538.855
1023822,538.89
1312925,538.915
1089746,531.775
1133734,408.775
1096643,531.17
1095601,526.665
1236999,571.25
1129005,531.95
1060160,466.935
1139012,526.435
1009801,498.12
1499374,444.5
1130038,497.365
1136954,475.12
1214539,544.785
1341789,388.07
1402501,75.34
1305350,71.41
1416500,71.32
1061620,63.305
1356623,51.81
1135009,60.045
1039371,44.865
1358442,57.19
1330108,72.68
1368952,80.815
1402068,407.06
1414079,334.395
1027086,342.56
1376822,275.28
1473650,630.3
1318829,315.505
1485144,580.72
1440877,390.135
1259634,323.73
